Incident_Type,Statute_Type,Block_Address,Occurred_Datetime,Statute_Description
Theft Misdemeanor (Under $950),Penal Code,2100 VINE ST,2024-12-28 07:20:00,PETTY THEFT (ALL OTHER)
Vehicle Code Violation,Vehicle Code,WALNUT ST  &  VINE ST,2024-11-06 19:39:00,EVADING PEACE OFFICER
Arson,Penal Code,VINE ST  &  WALNUT ST,2024-09-16 15:30:00,CONTEMPT OF COURT: DISOBEY COURT ORDER
Arson,Health and Safety,VINE ST  &  WALNUT ST,2024-09-16 15:30:00,POSSESS UNLAWFUL PARAPHERNALIA
Vandalism,Penal Code,1500 WALNUT ST,2024-08-25 09:50:00,VANDALISM:DEFACE PROPERTY
Vehicle Stolen,Vehicle Code,800 ADDISON ST,2024-05-19 15:00:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Disturbance,Penal Code,WALNUT ST  &  VINE ST,2024-08-18 03:25:00,FIGHT/CHALLENGE FIGHT PUBLIC PLACE
Theft Felony (over $950),Penal Code,800 ADDISON ST,2024-01-27 04:00:00,THEFT BY FORGED/INVALID ACCESS CARD (OVER $400)
Fraud/Forgery,Health and Safety,3100 ADELINE ST,2024-12-29 06:51:00,POSSESS UNLAWFUL PARAPHERNALIA
Fraud/Forgery,Penal Code,3100 ADELINE ST,2024-12-29 06:51:00,PROBATION VIOLATION: REARREST/REVOKE
Disturbance,Penal Code,WALNUT ST  &  VINE ST,2024-08-18 03:25:00,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM
Assault/Battery Misdemeanor,Penal Code,2100 VINE ST,2024-08-03 16:53:00,BATTERY ON PERSON
Theft from Auto,Penal Code,VINE ST  &  WALNUT ST,2024-07-01 22:00:00,ASSAULT WITH FIREARM ON PERSON
Theft from Auto,Penal Code,VINE ST  &  WALNUT ST,2024-07-01 22:00:00,BURGLARY OF AUTO
Theft from Auto,Penal Code,VINE ST  &  WALNUT ST,2024-07-01 22:00:00,POSSESS STOLEN VEHICLE/VESSEL/ETC
Theft from Auto,Penal Code,VINE ST  &  WALNUT ST,2024-06-22 02:40:00,PETTY THEFT FROM VEHICLE
Burglary Commercial,Penal Code,2100 VINE ST,2024-03-21 04:00:00,BURGLARY - BREAKING AND ENTERING
Theft Misdemeanor (Under $950),Penal Code,1300 ORDWAY ST,2024-12-28 03:00:00,BURGLARY OF AUTO
Theft Misdemeanor (Under $950),Penal Code,1300 ORDWAY ST,2024-12-28 03:00:00,PETTY THEFT FROM VEHICLE
Vehicle Stolen,Vehicle Code,1300 ORDWAY ST,2023-06-08 10:00:00,Take vehicle without owner's consent
Burglary Auto,Penal Code,1300 ORDWAY ST,2023-04-27 09:00:00,Burglary of a locked automobile
Disturbance,Penal Code,1300 ORDWAY ST,2023-03-01 17:00:00,Annoying telephone call: obscene/threatening
Theft Felony (over $950),Penal Code,2300 FULTON ST,2024-12-28 01:20:00,GRAND THEFT (ALL OTHER)
Theft Felony (over $950),Penal Code,2300   FULTON ST,2024-11-07 04:05:00,GRAND THEFT (ALL OTHER)
Vehicle Stolen,Vehicle Code,2300 FULTON ST,2024-10-21 18:10:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Theft Felony (over $950),Penal Code,2300   FULTON ST,2024-09-13 05:00:00,GRAND THEFT (ALL OTHER)
Assault/Battery Felony,Penal Code,2300 FULTON ST,2024-07-20 21:58:00,BATTERY ON PERSON
Theft Misdemeanor (Under $950),Penal Code,2300   FULTON ST,2024-04-13 18:50:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,2300 FULTON ST,2023-12-11 01:00:00,Petty Theft
Brandishing a weapon,Penal Code,2300 FULTON ST,2023-10-13 08:42:00,Exhibit deadly weapon other than firearm
